"Name","Id","WorkingSet64"
"svchost","5116","57344"
"svchost","5168","10907648"
"svchost","5200","7159808"
"svchost","5276","655360"
"svchost","5352","2195456"
"svchost","5364","57344"
"svchost","5392","0"
"svchost","5440","3338240"
"svchost","5472","712704"
"svchost","5868","446464"
"svchost","6516","196608"
"svchost","6972","0"
"svchost","7332","933888"
"svchost","7876","368640"
"svchost","7964","1929216"
"svchost","8380","24576"
"svchost","8736","9891840"
"svchost","8884","1728512"
"svchost","9424","0"
"svchost","9700","577536"
"svchost","10008","827392"
"svchost","10192","2011136"
"svchost","10640","1310720"
"svchost","10916","15400960"
"svchost","11408","1167360"
"svchost","13252","0"
"svchost","13488","3809280"
"svchost","13864","0"
"svchost","14940","2048000"
"svchost","15500","622592"
"svchost","16808","0"
"svchost","18276","1249280"
"svchost","18532","1814528"
"svchost","23028","94208"
"svchost","24900","0"
"System","4","167936"
"SystemSettings","16960","0"
"SystemSettingsBroker","3516","1716224"
"taskhostw","968","0"
"taskhostw","7376","1736704"
"TextInputHost","12396","8380416"
"unsecapp","12488","19107840"
"unsecapp","12560","151552"
"unsecapp","26436","397312"
"UserOOBEBroker","3396","1572864"
"WhatsApp.Root","22620","90779648"
"wininit","1332","0"
"winlogon","1588","49152"
"wlanext","4424","0"
"WmiPrvSE","12604","1699840"
"WmiPrvSE","12620","2469888"
"WmiPrvSE","12724","4665344"
"WMIRegistrationService","5452","0"
"WUDFHost","3232","0"
"WUDFHost","3688","651264"
